scenario,time_sec,error_norm,command_norm_per_sec,actuator_rate_norm_per_sec
positive,0.000,0.600000000,-0.080000000,0.000000000
positive,0.050,0.598888889,-0.160000000,-0.022222222
positive,0.100,0.595864198,-0.240000000,-0.060493827
positive,0.150,0.590346365,-0.320000000,-0.110356653
positive,0.200,0.581916819,-0.400000000,-0.168590916
positive,0.250,0.570273258,-0.480000000,-0.232871217
positive,0.300,0.555197353,-0.500000000,-0.301518101
positive,0.350,0.537364755,-0.500000000,-0.356651962
positive,0.400,0.517541212,-0.500000000,-0.396470861
positive,0.450,0.496279764,-0.500000000,-0.425228955
positive,0.500,0.473979830,-0.500000000,-0.445998690
positive,0.550,0.450929877,-0.500000000,-0.460999054
positive,0.600,0.427338245,-0.500000000,-0.471832650
positive,0.650,0.403355399,-0.500000000,-0.479656914
positive,0.700,0.379090010,-0.500000000,-0.485307771
positive,0.750,0.354620563,-0.473204171,-0.489388946
positive,0.800,0.330375904,-0.437376675,-0.484893175
positive,0.850,0.306791197,-0.403583498,-0.471694147
positive,0.900,0.284152471,-0.371895763,-0.452774522
positive,0.950,0.262637061,-0.342318607,-0.430308200
positive,1.000,0.242343728,-0.314811595,-0.405866647
positive,1.050,0.223315050,-0.289303745,-0.380573577
positive,1.100,0.205554007,-0.265704509,-0.355220846
positive,1.150,0.189036247,-0.243911747,-0.330355197
positive,1.200,0.173719091,-0.223817461,-0.306343128
positive,1.250,0.159548124,-0.205311867,-0.283419331
positive,1.300,0.146461984,-0.188286238,-0.261722813
positive,1.350,0.134395796,-0.172634842,-0.241323765
positive,1.400,0.123283620,-0.158256209,-0.222243508
positive,1.450,0.113060157,-0.145053925,-0.204469259
positive,1.500,0.103661907,-0.132937061,-0.187964999
positive,1.550,0.095027934,-0.121820366,-0.172679461
positive,1.600,0.087100337,-0.111624274,-0.158551934
positive,1.650,0.079824514,-0.102274794,-0.145516473
positive,1.700,0.073149269,-0.093703316,-0.133504896
positive,1.750,0.067026824,-0.085846368,-0.122448901
positive,1.800,0.061412747,-0.078645337,-0.112281531
positive,1.850,0.056265840,-0.072046183,-0.102938144
positive,1.900,0.051547988,-0.065999137,-0.094357044
positive,1.950,0.047223996,-0.060458412,-0.086479847
positive,2.000,0.043261412,-0.055381918,-0.079251671
positive,2.050,0.039630353,-0.050730987,-0.072621184
positive,2.100,0.036303324,-0.046470118,-0.066540574
positive,2.150,0.033255052,-0.042566724,-0.060965447
positive,2.200,0.030462317,-0.038990913,-0.055854691
